DATE,United Kingdom
2003M07,80.40359719967296
2003M08,81.79784388363358
2003M09,80.55134136151477
2003M10,77.76773153050819
2003M11,76.2649226657855
2003M12,73.40937509212782
2004M01,71.4568350787631
2004M02,70.35370384172386
2004M03,72.0250572623044
2004M04,71.97632154400013
2004M05,73.42989856276954
2004M06,72.34747740159769
2004M07,71.10228303924622
2004M08,72.27120172578135
2004M09,73.74054858791249
2004M10,72.61869065061707
2004M11,71.15348811363417
2004M12,68.00649871558997
2005M01,69.72614114184518
2005M02,69.94966610660684
2005M03,68.90326638072776
2005M04,70.43249159981761
2005M05,71.41679365136565
2005M06,72.77674421283862
2005M07,75.67686218752999
2005M08,74.54216790864565
2005M09,73.920197803765
2005M10,76.666393323714
2005M11,77.3848200338503
2005M12,75.45972785267519
2006M01,76.3200090154163
2006M02,76.28324947505925
2006M03,76.51474247792791
2006M04,76.68884812388278
2006M05,71.30848040579468
2006M06,72.6187933392957
2006M07,72.83353594692188
2006M08,71.36259297163296
2006M09,70.9258983016976
2006M10,70.45535527983994
2006M11,68.85530505134037
2006M12,67.30419292345255
2007M01,67.92078356636188
2007M02,68.03557724968131
2007M03,68.32342143177681
2007M04,67.17549434658005
2007M05,67.42371361597209
2007M06,67.39257220766903
2007M07,66.34574441629101
2007M08,67.33250685432147
2007M09,67.43720904780608
2007M10,65.99274106654026
2007M11,64.79794911429627
2007M12,65.79061407459591
2008M01,69.143617246199
2008M02,68.93458108082316
2008M03,67.92786683391651
2008M04,67.78098050652083
2008M05,69.31392051796608
2008M06,69.60816804752427
2008M07,68.60164836573725
2008M08,69.29429448508917
2008M09,75.63527276559842
2008M10,79.06293103418733
2008M11,85.43495006743645
2008M12,87.35304259200691
2009M01,90.87380580091676
2009M02,90.69732719882474
2009M03,93.4460183036796
2009M04,89.51593734369492
2009M05,85.42337993878336
2009M06,80.67162545178172
2009M07,80.63524052822233
2009M08,79.22116713124286
2009M09,80.59189707940531
2009M10,81.89921520786423
2009M11,79.1343626505591
2009M12,81.35269713398897
2010M01,81.72264430531848
2010M02,84.1902637789567
2010M03,86.78766510332441
2010M04,85.14495451556849
2010M05,88.94589476846667
2010M06,88.76054640778895
2010M07,85.05112925873908
2010M08,82.18272877744576
2010M09,83.53578411362675
2010M10,82.1511803915815
2010M11,81.9144969410253
2010M12,82.63050549110496
2011M01,82.93365341566299
2011M02,80.3008041119139
2011M03,80.82113246335398
2011M04,79.42917707940985
2011M05,79.63212553129863
2011M06,79.54684216352419
2011M07,80.9225263605602
2011M08,79.49678299918267
2011M09,81.70582361097256
2011M10,81.53729039501418
2011M11,81.29645268882086
2011M12,82.12301336093898
2012M01,82.74567242327875
2012M02,81.38172397956336
2012M03,81.82787495323784
2012M04,81.6471592572201
2012M05,81.55134799093341
2012M06,82.9839241713696
2012M07,82.76210687770096
2012M08,82.87629069538436
2012M09,80.39369280365317
2012M10,80.03034953312081
2012M11,80.76897680515846
2012M12,81.57775301430571
2013M01,80.78967596664073
2013M02,83.60614329209079
2013M03,84.85325659557738
2013M04,83.31035221265442
2013M05,83.28870165274465
2013M06,83.65895501910724
2013M07,84.979484391387
2013M08,83.45197181993319
2013M09,80.73215294860154
2013M10,79.16587358747296
2013M11,79.00418325385942
2013M12,77.40985195811432
2014M01,78.09144176676713
2014M02,78.06384860481916
2014M03,77.12295975547475
2014M04,77.14415131618046
2014M05,76.12335927991113
2014M06,76.11227475404266
2014M07,76.23535245595889
2014M08,77.1655400277662
2014M09,78.43216194678597
2014M10,79.43822327650912
2014M11,79.16747990381027
2014M12,81.25790169609552
2015M01,83.9913988039589
2015M02,82.82756671220041
2015M03,85.79801290325305
2015M04,85.71425389010285
2015M05,83.41249095492138
2015M06,82.41690989876442
2015M07,82.50485816812433
2015M08,82.14158374979306
2015M09,83.37830240035042
2015M10,84.53860493407129
2015M11,84.36017097419746
2015M12,85.26071513563406
2016M01,88.39115814328176
2016M02,89.5666838363163
2016M03,89.68357602808241
2016M04,89.92962927590233
2016M05,88.82696467885891
2016M06,90.23125014300044
2016M07,97.90377045642616
2016M08,97.70319306449214
2016M09,97.64859906687317
2016M10,104.1000400107769
2016M11,102.45325019026023
2016M12,102.08566296757265
2017M01,104.37260107676967
2017M02,102.80245656640061
2017M03,103.86778922502637
2017M04,101.11130500549464
2017M05,98.34985846903088
2017M06,99.71750227516193
2017M07,98.37115741789201
2017M08,98.19137066300208
2017M09,95.87080486167699
2017M10,96.99468410419607
2017M11,96.71911498404083
2017M12,95.11784457941827
2018M01,92.2498665306346
2018M02,92.31483286409936
2018M03,92.34750068079853
2018M04,91.08024553630922
2018M05,94.96345620585475
2018M06,96.40015147458124
2018M07,97.69207702582413
2018M08,99.75344617609328
2018M09,98.49650072438789
2018M10,98.57804604119806
2018M11,99.3376203883032
2018M12,100.10254863224553
2019M01,99.67533991691496
2019M02,98.44329456517056
2019M03,97.53031074492469
2019M04,98.7828996634621
2019M05,100.0
